Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
39,64,Male,Jeans,Clothing,22,Vermont,XL,Brown,Fall,3.9,Yes,Free Shipping,No,No,28,Venmo,Quarterly
40,68,Male,Sunglasses,Footwear,78,New Mexico,L,Maroon,Spring,3.7,Yes,Express,No,No,18,PayPal,Quarterly
41,61,Male,Jacket,Outerwear,47,Indiana,L,Lavender,Summer,4.0,Yes,Ground,Yes,Yes,36,Venmo,Bi-Weekly
42,69,Male,Heels,Footwear,65,Georgia,S,White,Summer,2.6,No,2-Day Shipping,Yes,Yes,34,Apple Pay,Quarterly
43,20,Female,Gloves,Clothing,83,New Jersey,M,Silver,Spring,2.6,Yes,2-Day Shipping,No,No,13,Venmo,Annually
44,54,Male,Belt,Footwear,89,Oklahoma,S,Coral,Summer,4.3,No,Free Shipping,No,No,46,Apple Pay,Fortnightly
45,68,Female,Scarf,Clothing,66,Washington,L,Yellow,Spring,3.0,No,2-Day Shipping,Yes,Yes,30,PayPal,Fortnightly
46,24,Male,Sunglasses,Clothing,33,South Carolina,S,Maroon,Summer,4.1,No,2-Day Shipping,No,No,28,PayPal,Monthly
47,38,Male,Backpack,Accessories,26,Iowa,L,Olive,Spring,3.9,No,2-Day Shipping,No,No,22,Cash,Quarterly
48,26,Male,Jeans,Clothing,93,Indiana,XL,Black,Fall,5.0,Yes,Standard,Yes,Yes,24,Debit Card,Every 3 Months
49,56,Male,Tie,Clothing,98,New Mexico,S,Blue,Fall,4.6,No,Free Shipping,Yes,Yes,47,Credit Card,Monthly
50,35,Female,Loafers,Accessories,50,New Hampshire,S,Peach,Summer,3.5,No,Free Shipping,Yes,Yes,30,PayPal,Quarterly
51,21,Male,Wallet,Clothing,100,Nebraska,XL,Yellow,Summer,4.0,No,Express,No,No,45,Apple Pay,Monthly
52,42,Male,Sweater,Footwear,70,Massachusetts,XL,Burgundy,Fall,2.8,No,Ground,No,No,38,PayPal,Weekly
53,31,Male,Loafers,Clothing,48,Florida,M,Teal,Winter,3.5,No,Free Shipping,Yes,Yes,20,Cash,Annually
54,67,Male,Belt,Clothing,34,Maryland,XL,Yellow,Spring,4.3,No,Next Day Air,Yes,Yes,6,Cash,Quarterly
55,26,Male,Sneakers,Clothing,95,Ohio,M,White,Winter,4.1,No,Free Shipping,Yes,Yes,33,Debit Card,Bi-Weekly
56,43,Male,Handbag,Clothing,44,Iowa,XL,Mint,Summer,3.7,No,Next Day Air,No,No,47,PayPal,Quarterly
57,70,Female,Dress,Clothing,80,Mississippi,L,Silver,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly
58,19,Male,Jacket,Outerwear,60,Wisconsin,S,Navy,Summer,4.5,No,Ground,No,No,15,Cash,Annually
59,37,Male,Sneakers,Footwear,88,Kansas,XL,Orange,Winter,3.2,No,Next Day Air,No,No,15,Venmo,Weekly
60,45,Female,Jeans,Accessories,23,Oklahoma,L,White,Fall,4.6,No,Ground,No,No,32,Debit Card,Fortnightly
61,64,Male,Watch,Clothing,76,Hawaii,XL,Peach,Fall,4.0,No,Ground,Yes,Yes,14,PayPal,Annually
62,24,Female,Loafers,Footwear,50,Delaware,S,Silver,Fall,3.4,No,Standard,No,No,42,Credit Card,Weekly
63,61,Male,Coat,Footwear,22,Arizona,XL,Maroon,Spring,2.6,No,Ground,No,No,8,Credit Card,Monthly
64,25,Female,Dress,Accessories,86,Maine,XL,Peach,Summer,3.1,Yes,2-Day Shipping,Yes,Yes,36,Apple Pay,Quarterly
65,64,Male,Belt,Clothing,69,Virginia,S,Beige,Winter,4.7,No,Next Day Air,No,No,22,Cash,Every 3 Months
66,52,Female,Shorts,Footwear,36,South Dakota,XL,Blue,Spring,4.5,Yes,Ground,No,No,38,Apple Pay,Quarterly
67,31,Female,Dress,Accessories,79,Arizona,S,Gray,Winter,3.9,No,2-Day Shipping,Yes,Yes,20,Credit Card,Fortnightly
68,34,Male,Sweater,Clothing,93,Oklahoma,M,Purple,Spring,3.7,Yes,Standard,Yes,Yes,24,Cash,Monthly
69,53,Female,Heels,Accessories,85,Missouri,XL,Gold,Fall,4.1,No,2-Day Shipping,No,No,21,Venmo,Weekly
70,67,Male,Sandals,Clothing,94,Oklahoma,L,Brown,Spring,3.7,No,2-Day Shipping,Yes,Yes,28,Cash,Monthly
71,57,Male,Watch,Outerwear,43,Hawaii,XL,Gold,Summer,4.1,No,Free Shipping,No,No,49,PayPal,Monthly
72,21,Male,Blouse,Accessories,51,Kansas,S,Charcoal,Summer,3.3,No,Express,Yes,Yes,23,Credit Card,Fortnightly
73,19,Male,Heels,Footwear,38,Kentucky,S,Green,Winter,4.6,Yes,Next Day Air,Yes,Yes,24,PayPal,Weekly
74,23,Male,Loafers,Clothing,85,Tennessee,L,Olive,Fall,4.3,Yes,Express,No,No,39,Credit Card,Fortnightly
75,59,Male,Scarf,Clothing,79,Mississippi,L,Silver,Fall,3.3,No,Standard,Yes,Yes,44,Credit Card,Weekly
76,21,Male,Belt,Accessories,85,Kentucky,S,Peach,Winter,4.6,No,Standard,No,No,23,Cash,Annually
77,46,Female,Handbag,Footwear,34,West Virginia,M,Olive,Summer,3.7,No,2-Day Shipping,No,No,4,Debit Card,Annually
78,35,Female,Skirt,Clothing,54,Maryland,M,Burgundy,Summer,2.9,No,Express,Yes,Yes,46,Credit Card,Every 3 Months
79,43,Male,Blouse,Footwear,88,Michigan,S,Navy,Winter,2.7,No,Next Day Air,No,No,4,Credit Card,Quarterly
80,61,Male,Watch,Footwear,46,Colorado,M,Orange,Fall,4.2,No,Next Day Air,No,No,30,Apple Pay,Fortnightly
81,51,Male,Boots,Clothing,26,Connecticut,L,Gold,Winter,4.7,No,2-Day Shipping,No,No,48,Debit Card,Annually
82,27,Male,Gloves,Clothing,25,Indiana,M,Gold,Winter,4.5,No,Next Day Air,No,No,28,PayPal,Every 3 Months
83,53,Male,Gloves,Clothing,52,Hawaii,L,Mint,Spring,4.1,No,Free Shipping,Yes,Yes,31,Credit Card,Bi-Weekly
84,31,Male,Shorts,Footwear,77,Idaho,XL,Red,Winter,2.9,No,Express,Yes,Yes,33,Cash,Monthly
85,48,Male,T-Shirt,Footwear,68,Virginia,L,Teal,Summer,2.7,No,Standard,No,No,50,Debit Card,Monthly
86,65,Female,Coat,Footwear,36,California,XL,Coral,Winter,3.4,No,Next Day Air,No,No,19,Debit Card,Annually
87,32,Male,Wallet,Outerwear,61,California,L,Maroon,Fall,4.6,Yes,Next Day Air,No,No,10,Apple Pay,Fortnightly
88,25,Male,Hat,Accessories,91,Maryland,L,Silver,Fall,4.9,No,Next Day Air,No,No,25,Credit Card,Quarterly
89,31,Male,Backpack,Footwear,59,Iowa,M,Gold,Summer,3.1,No,2-Day Shipping,No,No,37,PayPal,Every 3 Months
90,40,Male,Boots,Clothing,65,Montana,L,Silver,Fall,4.4,Yes,Standard,No,No,13,PayPal,Monthly
91,57,Male,Blouse,Footwear,90,North Carolina,S,Blue,Winter,3.9,No,Express,No,No,6,Venmo,Quarterly
92,38,Male,Scarf,Clothing,89,New Jersey,XL,Green,Summer,2.6,No,Next Day Air,Yes,Yes,30,Venmo,Monthly
93,33,Male,Backpack,Footwear,87,Mississippi,XL,Mint,Fall,3.9,No,Free Shipping,Yes,Yes,23,Cash,Every 3 Months
94,62,Male,Heels,Footwear,20,Minnesota,L,Beige,Winter,4.5,No,Ground,Yes,Yes,36,Apple Pay,Weekly
95,35,Female,Loafers,Clothing,98,Florida,S,Mint,Fall,3.2,No,2-Day Shipping,Yes,Yes,16,Credit Card,Annually
96,64,Female,Dress,Accessories,71,Arizona,L,Charcoal,Spring,4.7,No,Express,No,No,8,PayPal,Fortnightly
97,70,Male,T-Shirt,Clothing,54,Oklahoma,L,Coral,Fall,3.1,No,Next Day Air,Yes,Yes,16,Venmo,Monthly
98,41,Male,Skirt,Footwear,88,West Virginia,M,Teal,Summer,2.7,No,Express,Yes,Yes,11,Credit Card,Annually
99,43,Male,Watch,Clothing,24,Connecticut,L,Pink,Winter,2.9,No,2-Day Shipping,Yes,Yes,1,Apple Pay,Quarterly
100,42,Male,Skirt,Accessories,36,Michigan,L,White,Winter,4.6,Yes,Ground,No,No,22,Credit Card,Fortnightly
101,62,Male,Jeans,Clothing,72,Indiana,M,Olive,Summer,3.5,No,Free Shipping,Yes,Yes,18,PayPal,Fortnightly
102,58,Male,Sneakers,Clothing,71,West Virginia,M,Maroon,Spring,,No,Next Day Air,Yes,Yes,36,Credit Card,Annually
103,46,Male,Sandals,Clothing,33,New Hampshire,S,Lavender,Winter,3.8,No,Free Shipping,No,No,11,Debit Card,Annually
104,32,Male,T-Shirt,Clothing,48,Wyoming,M,Charcoal,Summer,3.7,No,2-Day Shipping,Yes,Yes,20,Venmo,Every 3 Months
105,62,Male,Backpack,Clothing,27,Kansas,XL,Silver,Fall,4.5,Yes,Free Shipping,No,No,10,Cash,Annually
106,18,Female,Watch,Footwear,20,West Virginia,XL,Pink,Spring,3.6,Yes,2-Day Shipping,No,No,48,Venmo,Weekly
107,42,Female,Watch,Clothing,48,North Dakota,S,Turquoise,Summer,4.5,No,Ground,No,No,10,Credit Card,Weekly
108,24,Female,Backpack,Clothing,55,Georgia,L,Green,Fall,2.8,Yes,Free Shipping,No,No,37,Debit Card,Fortnightly
109,26,Male,Sneakers,Clothing,70,Connecticut,S,Peach,Winter,4.1,No,Express,Yes,Yes,50,Venmo,Annually
110,41,Female,Belt,Outerwear,56,Missouri,M,Green,Winter,4.3,No,Express,No,No,22,PayPal,Bi-Weekly
111,18,Male,Shirt,Footwear,88,Nebraska,L,Navy,Spring,4.7,No,2-Day Shipping,No,No,11,Debit Card,Bi-Weekly
112,61,Female,Jacket,Outerwear,72,Iowa,S,Lavender,Fall,3.1,No,Express,Yes,Yes,35,Apple Pay,Weekly
113,25,Male,Gloves,Footwear,71,New York,S,Lavender,Summer,4.0,No,Ground,No,No,9,Venmo,Fortnightly
114,41,Female,Loafers,Clothing,31,Nevada,XL,Gold,Winter,3.6,No,Free Shipping,Yes,Yes,15,Credit Card,Monthly
115,28,Male,Jacket,Clothing,71,Florida,S,Black,Summer,3.5,No,Free Shipping,Yes,Yes,19,PayPal,Every 3 Months
116,68,Female,Wallet,Clothing,20,Connecticut,L,Green,Summer,2.8,Yes,Next Day Air,No,No,37,Credit Card,Bi-Weekly
117,34,Female,Dress,Outerwear,26,Kansas,S,Teal,Summer,2.8,No,2-Day Shipping,Yes,Yes,6,Apple Pay,Annually
118,25,Male,Blouse,Accessories,36,Montana,S,Navy,Spring,4.6,No,Express,Yes,Yes,36,Credit Card,Weekly
119,52,Male,Wallet,Footwear,62,Ohio,M,Mint,Summer,4.4,No,Ground,Yes,Yes,44,Apple Pay,Fortnightly
120,52,Female,Belt,Clothing,90,Kentucky,S,Blue,Spring,3.5,No,2-Day Shipping,Yes,Yes,5,PayPal,Annually
121,50,Male,Shirt,Clothing,36,Minnesota,L,Gold,Spring,4.6,Yes,Express,Yes,Yes,3,Debit Card,Fortnightly
122,22,Female,Sandals,Clothing,78,Delaware,XL,Red,Fall,2.7,Yes,Next Day Air,No,No,10,Venmo,Monthly
123,59,Male,Wallet,Footwear,22,Alaska,XL,Coral,Winter,4.1,No,Free Shipping,No,No,13,Debit Card,Bi-Weekly
124,56,Male,Jeans,Clothing,48,New Mexico,XL,Lavender,Summer,4.7,No,Free Shipping,Yes,Yes,4,Apple Pay,Fortnightly
125,58,Male,Boots,Accessories,41,New York,XL,Peach,Fall,4.6,No,Ground,Yes,Yes,40,PayPal,Every 3 Months
126,45,Male,Scarf,Clothing,57,New Hampshire,M,Yellow,Fall,3.4,No,Standard,No,No,33,Apple Pay,Every 3 Months
127,24,Female,Coat,Accessories,73,Arizona,L,Turquoise,Fall,4.4,No,2-Day Shipping,No,No,34,Venmo,Fortnightly
128,26,Male,Sneakers,Outerwear,69,Delaware,M,Orange,Fall,3.6,No,Express,No,No,36,PayPal,Monthly
129,25,Male,Tie,Outerwear,88,Alaska,XL,Green,Fall,4.6,No,Standard,Yes,Yes,33,Cash,Quarterly
130,29,Male,Shirt,Footwear,49,New Mexico,M,Burgundy,Summer,3.8,No,2-Day Shipping,No,No,21,Cash,Every 3 Months
131,51,Male,Scarf,Footwear,42,Wisconsin,S,Peach,Fall,4.4,No,Express,Yes,Yes,39,Debit Card,Annually
132,50,Female,Handbag,Footwear,66,Oregon,L,Blue,Winter,2.7,Yes,Next Day Air,Yes,Yes,5,PayPal,Monthly
133,65,Female,Jacket,Footwear,40,Maryland,S,Lavender,Spring,4.0,No,2-Day Shipping,No,No,45,Venmo,Every 3 Months
134,40,Male,Belt,Footwear,39,New Hampshire,M,Silver,Spring,3.9,Yes,Express,No,No,13,Debit Card,Bi-Weekly
135,41,Female,Sneakers,Accessories,42,Kentucky,S,Peach,Winter,4.0,No,Free Shipping,Yes,Yes,40,Cash,Monthly
136,54,Female,Wallet,Outerwear,87,Georgia,M,Maroon,Summer,4.2,No,2-Day Shipping,No,No,17,Cash,Bi-Weekly
137,52,Male,Blouse,Outerwear,40,South Dakota,M,Teal,Spring,4.8,No,Express,No,No,10,Cash,Annually
138,61,Female,Jacket,Accessories,40,Michigan,L,Silver,Winter,4.5,Yes,Ground,No,No,10,Debit Card,Bi-Weekly
139,57,Male,Sandals,Clothing,20,Colorado,L,Pink,Winter,3.0,No,Free Shipping,Yes,Yes,2,Venmo,Fortnightly
140,39,Male,Jacket,Clothing,34,Texas,L,Teal,Fall,4.6,No,Free Shipping,No,No,38,Cash,Weekly
141,44,Female,Tie,Footwear,36,North Dakota,XL,Gold,Spring,2.8,No,Standard,Yes,Yes,21,Debit Card,Annually
142,52,Male,Jacket,Footwear,70,New Mexico,L,Charcoal,Fall,4.1,No,Express,Yes,Yes,1,Debit Card,Monthly
143,18,Female,T-Shirt,Outerwear,82,Idaho,S,Teal,Summer,4.7,No,Standard,Yes,Yes,30,Credit Card,Fortnightly
144,52,Female,Handbag,Clothing,33,Idaho,L,Pink,Spring,2.8,Yes,Ground,No,No,18,Credit Card,Bi-Weekly
145,54,Male,Dress,Footwear,78,Kansas,L,Burgundy,Spring,4.6,Yes,Standard,No,No,35,Apple Pay,Quarterly
146,64,Female,Skirt,Footwear,69,Missouri,L,Burgundy,Winter,4.5,Yes,Next Day Air,No,No,39,Venmo,Fortnightly
147,31,Male,Skirt,Clothing,53,Michigan,M,Lavender,Spring,3.8,Yes,Standard,No,No,48,Cash,Weekly
148,20,Male,Sweater,Footwear,25,Nebraska,M,Coral,Summer,3.3,No,Standard,No,No,22,Credit Card,Fortnightly
149,18,Male,Boots,Outerwear,68,Mississippi,L,Turquoise,Summer,3.5,No,Next Day Air,Yes,Yes,3,Venmo,Every 3 Months
150,22,Female,Boots,Clothing,25,Idaho,M,Burgundy,Spring,4.9,No,Next Day Air,Yes,Yes,6,Credit Card,Weekly
151,43,Male,Tie,Footwear,88,Louisiana,M,Coral,Winter,3.0,No,2-Day Shipping,No,No,36,Cash,Quarterly
152,31,Male,Tie,Footwear,26,Vermont,XL,Peach,Summer,3.9,Yes,Standard,No,No,16,Debit Card,Quarterly
153,56,Female,Shirt,Clothing,96,Washington,S,Black,Fall,2.7,No,Free Shipping,No,No,3,Cash,Fortnightly
154,44,Female,Backpack,Clothing,70,Kansas,M,White,Summer,,Yes,Next Day Air,No,No,36,Credit Card,Annually
155,26,Female,Wallet,Accessories,20,Arkansas,S,Charcoal,Spring,4.4,Yes,Express,Yes,Yes,11,Cash,Annually
156,32,Male,Sandals,Clothing,32,Idaho,M,Gold,Fall,3.3,No,2-Day Shipping,No,No,17,Debit Card,Annually
157,32,Male,Watch,Clothing,62,Wisconsin,L,Green,Spring,5.0,No,2-Day Shipping,No,No,19,PayPal,Bi-Weekly
158,43,Male,Sweater,Clothing,46,North Carolina,M,White,Spring,3.8,No,Standard,No,No,8,Debit Card,Bi-Weekly
159,59,Female,Boots,Footwear,90,Michigan,M,White,Spring,3.8,No,Ground,No,No,14,Credit Card,Quarterly
160,30,Male,Sunglasses,Footwear,22,Louisiana,S,Beige,Winter,2.6,No,Free Shipping,Yes,Yes,26,Debit Card,Every 3 Months
161,68,Male,Heels,Footwear,77,West Virginia,L,Charcoal,Winter,4.9,No,Ground,No,No,48,Apple Pay,Weekly
162,49,Female,Dress,Clothing,36,North Carolina,XL,Black,Summer,2.9,No,Ground,Yes,Yes,25,Venmo,Bi-Weekly
163,56,Male,Heels,Accessories,64,Nebraska,S,Red,Spring,3.8,Yes,Next Day Air,No,No,48,Cash,Bi-Weekly
164,66,Female,Blouse,Clothing,97,Tennessee,L,Mint,Fall,3.5,No,Express,Yes,Yes,10,Apple Pay,Monthly
165,69,Male,Scarf,Clothing,77,Maine,L,Purple,Fall,3.5,No,Standard,Yes,Yes,32,PayPal,Fortnightly
166,49,Female,T-Shirt,Footwear,75,West Virginia,S,Peach,Fall,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Bi-Weekly
167,21,Male,Sandals,Clothing,73,Indiana,M,Maroon,Winter,4.2,No,Standard,No,No,4,Cash,Bi-Weekly
168,47,Male,Shorts,Accessories,48,Missouri,L,Purple,Winter,2.9,No,Standard,Yes,Yes,28,Cash,Weekly
169,54,Female,Skirt,Accessories,73,North Dakota,XL,Burgundy,Spring,3.7,Yes,2-Day Shipping,No,No,4,Venmo,Monthly
170,40,Female,Tie,Clothing,46,Mississippi,M,Gold,Fall,4.5,Yes,Ground,No,No,13,Debit Card,Quarterly
171,56,Female,Dress,Accessories,64,Pennsylvania,S,Blue,Fall,3.6,Yes,Express,Yes,Yes,12,PayPal,Monthly
172,62,Male,Handbag,Outerwear,50,Minnesota,S,White,Winter,2.9,No,Express,Yes,Yes,15,Credit Card,Every 3 Months
173,32,Female,Loafers,Accessories,55,California,S,Mint,Winter,3.3,No,Express,No,No,29,Cash,Quarterly
174,60,Female,Backpack,Clothing,100,Utah,S,Turquoise,Fall,3.0,No,Express,Yes,Yes,23,Cash,Quarterly
175,46,Male,Boots,Footwear,80,Oklahoma,XL,Silver,Fall,2.8,Yes,Next Day Air,No,No,13,Apple Pay,Bi-Weekly
176,53,Female,Tie,Clothing,56,Mississippi,XL,Peach,Summer,3.4,No,Next Day Air,No,No,38,Apple Pay,Bi-Weekly
177,30,Female,Gloves,Outerwear,86,Oklahoma,L,Yellow,Winter,3.9,No,Express,Yes,Yes,46,Apple Pay,Bi-Weekly
178,49,Male,Boots,Clothing,55,California,XL,Blue,Spring,2.7,Yes,Free Shipping,No,No,35,PayPal,Weekly
179,24,Male,Shorts,Footwear,24,Rhode Island,S,Blue,Spring,4.0,Yes,Next Day Air,No,No,40,Apple Pay,Annually
180,68,Male,Handbag,Clothing,65,Colorado,XL,Turquoise,Fall,5.0,No,Next Day Air,No,No,12,Cash,Every 3 Months
181,39,Male,Sneakers,Clothing,98,Vermont,M,Brown,Winter,4.9,No,Free Shipping,Yes,Yes,30,PayPal,Annually
182,45,Male,Belt,Footwear,71,Oklahoma,M,Orange,Spring,4.6,No,Express,No,No,46,Credit Card,Weekly
183,19,Male,Shorts,Accessories,68,Vermont,L,Teal,Winter,3.2,Yes,Standard,No,No,5,Credit Card,Fortnightly
184,59,Male,Boots,Footwear,25,Arkansas,S,Red,Fall,2.6,No,Next Day Air,No,No,2,PayPal,Quarterly
185,62,Male,Sneakers,Accessories,29,Georgia,XL,Gold,Fall,4.6,No,Standard,Yes,Yes,42,Cash,Fortnightly
186,70,Male,Backpack,Clothing,42,Alabama,L,Teal,Fall,2.6,No,Standard,Yes,Yes,30,Venmo,Every 3 Months
187,23,Female,Hat,Footwear,36,Massachusetts,L,Peach,Winter,3.0,Yes,Free Shipping,Yes,Yes,35,Venmo,Quarterly
188,45,Female,Jeans,Footwear,63,South Carolina,XL,Olive,Spring,3.9,No,Express,Yes,Yes,10,Debit Card,Bi-Weekly
189,45,Male,Heels,Clothing,60,Rhode Island,L,Orange,Summer,2.9,No,Ground,No,No,9,Venmo,Quarterly
190,61,Female,Jacket,Footwear,34,Oregon,S,Brown,Spring,4.6,No,Standard,Yes,Yes,17,Apple Pay,Bi-Weekly
191,61,Male,Jacket,Footwear,63,Arizona,XL,Purple,Winter,4.4,No,Express,No,No,38,Cash,Annually
192,37,Male,Coat,Footwear,77,Washington,M,White,Spring,4.4,Yes,2-Day Shipping,No,No,30,Venmo,Every 3 Months
193,47,Male,Jeans,Outerwear,69,New Mexico,M,Navy,Summer,4.5,No,Ground,No,No,41,Debit Card,Annually
194,28,Male,Boots,Footwear,71,Nebraska,XL,Beige,Spring,3.0,No,Ground,Yes,Yes,35,Credit Card,Quarterly
195,45,Female,Jacket,Clothing,89,Kentucky,L,Gold,Summer,4.3,No,Ground,No,No,7,PayPal,Every 3 Months
196,42,Female,Shorts,Clothing,87,Minnesota,L,Gray,Winter,3.4,No,Express,No,No,12,Venmo,Every 3 Months
197,56,Male,Tie,Footwear,82,Illinois,M,Burgundy,Fall,4.2,Yes,Free Shipping,No,No,50,PayPal,Bi-Weekly
198,50,Male,Sunglasses,Clothing,77,Washington,M,Black,Summer,2.8,Yes,Free Shipping,No,No,42,PayPal,Annually
199,18,Male,Belt,Clothing,42,Nebraska,S,Teal,Winter,4.3,No,2-Day Shipping,No,No,34,Apple Pay,Annually
200,44,Male,Dress,Clothing,63,Maryland,L,Purple,Fall,4.9,No,Free Shipping,Yes,Yes,49,Apple Pay,Bi-Weekly
201,69,Male,Watch,Footwear,63,Virginia,S,Coral,Summer,2.6,No,Express,No,No,3,Credit Card,Monthly
202,30,Male,Scarf,Clothing,71,Illinois,M,Teal,Fall,2.7,Yes,Ground,No,No,33,Debit Card,Every 3 Months
203,58,Female,Blouse,Outerwear,86,Utah,M,Coral,Spring,2.8,No,Express,Yes,Yes,40,Cash,Every 3 Months
204,20,Female,Loafers,Footwear,47,Mississippi,M,Teal,Winter,3.6,Yes,Ground,Yes,Yes,13,Cash,Monthly
205,56,Male,Watch,Clothing,86,South Dakota,M,Mint,Winter,3.2,No,Express,Yes,Yes,11,Cash,Bi-Weekly
206,23,Female,T-Shirt,Outerwear,97,Arizona,S,Red,Winter,4.5,Yes,Free Shipping,No,No,40,Debit Card,Quarterly
207,25,Male,Sandals,Footwear,37,Texas,M,Peach,Winter,3.7,Yes,Express,Yes,Yes,20,Apple Pay,Every 3 Months
